DEPTH_WMSF,HSGR,Helper
36.2712,4.053,1
36.4236,5.1311,1
36.576,4.556,1
36.7284,4.2871,1
36.8808,4.21,1
37.0332,3.6912,1
37.1856,3.7014,1
37.338,3.8524,1
37.4904,4.4776,1
37.6428,4.6475,1
37.7952,4.1678,1
37.9476,4.1688,1
38.1,3.941,1
38.2524,3.9064,1
38.4048,3.7926,1
38.5572,3.3171,1
38.7096,3.3002,1
38.862,3.0455,1
39.0144,2.8888,1
39.1668,2.3059,1
39.3192,2.8058,1
39.4716,3.0371,1
39.624,3.748,1
39.7764,3.4574,1
39.9288,4.4324,1
40.0812,3.5922,1
40.2336,3.6347,1
40.386,2.532,1
40.5384,3.4927,1
40.6908,3.5438,1
40.8432,4.2359,1
40.9956,3.7767,1
41.148,3.2037,1
41.3004,2.6259,1
41.4528,3.1656,1
41.6052,4.0883,1
41.7576,4.9192,1
41.91,4.484,1
42.0624,4.6033,1
42.2148,3.9823,1
42.3672,4.2343,1
42.5196,3.7289,1
42.672,3.7727,1
42.8244,4.1477,1
42.9768,4.7697,1
43.1292,6.2942,1
43.2816,8.8264,1
43.434,10.7673,1
43.5864,12.264,1
43.7388,12.1288,1
43.8912,12.3672,1
44.0436,11.9094,1
44.196,11.4872,1
44.3484,11.5658,1
44.5008,11.2047,1
44.6532,13.1089,1
44.8056,13.698,1
44.958,15.182,1
45.1104,13.2181,1
45.2628,13.2398,1
45.4152,14.1731,1
45.5676,16.1412,1
45.72,13.7987,1
45.8724,10.0821,1
46.0248,6.306,1
46.1772,7.2368,1
46.3296,6.8411,1
46.482,7.521,1
46.6344,7.1261,1
46.7868,7.7693,1
46.9392,6.4795,1
47.0916,5.2177,1
47.244,4.9089,1
47.3964,4.8241,1
47.5488,4.1288,1
47.7012,4.0236,1
47.8536,3.998,1
48.006,5.1708,1
48.1584,5.2717,1
48.3108,5.5227,1
48.4632,5.2939,1
48.6156,4.4661,1
48.768,5.3556,1
48.9204,4.203,1
49.0728,5.0396,1
49.2252,4.5346,1
49.3776,5.6877,1
49.53,4.525,1
49.6824,4.1934,1
49.8348,3.6743,1
49.9872,5.303,1
50.1396,5.7724,1
50.292,6.4533,1
50.4444,6.4463,1
50.5968,6.5002,1
50.7492,6.2382,1
50.9016,5.826,1
51.054,5.5106,1
51.2064,5.979,1
51.3588,6.0842,1
51.5112,7.0282,1
